wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
48500000;24250000;True;1;1;;;;
48600000;24300000;True;3;1;;;;
48700000;24350000;True;2;1;;;;
48800000;24400000;True;5;1;;;;
48900000;24450000;True;2;1;;;;
49000000;24500000;True;2;1;;;;
49100000;24550000;True;0;1;;;;
49200000;24600000;True;1;1;;;;
49300000;24650000;True;3;1;;;;
49400000;24700000;True;2;1;;;;
49500000;24750000;True;1;1;;;;
49600000;24800000;True;0;1;;;;
49700000;24850000;True;2;1;;;;
49800000;24900000;True;0;1;;;;
49900000;24950000;True;2;1;;;;
50000000;25000000;True;2;1;;;;
50100000;25050000;True;3;1;;;;
50200000;25100000;True;3;1;;;;
50300000;25150000;True;2;1;;;;
50400000;25200000;True;3;1;;;;
50500000;25250000;True;3;1;;;;
50600000;25300000;True;1;1;;;;
50700000;25350000;True;3;1;;;;
50800000;25400000;True;2;1;;;;
50900000;25450000;True;3;1;;;;
51000000;25500000;True;1;1;;;;
51100000;25550000;True;1;1;;;;
51200000;25600000;True;4;1;;;;
51300000;25650000;True;0;1;;;;
51400000;25700000;True;3;1;;;;
51500000;25750000;True;1;1;;;;
51600000;25800000;True;1;1;;;;
51700000;25850000;True;2;1;;;;
51800000;25900000;True;3;1;;;;
51900000;25950000;True;3;1;;;;
52000000;26000000;True;3;1;;;;
52100000;26050000;True;2;1;;;;
52200000;26100000;True;1;1;;;;
52300000;26150000;True;2;1;;;;
52400000;26200000;True;2;1;;;;
52500000;26250000;True;1;1;;;;
52600000;26300000;True;2;1;;;;
52700000;26350000;True;3;1;;;;
52800000;26400000;True;1;1;;;;
52900000;26450000;True;1;1;;;;
53000000;26500000;True;2;1;;;;
53100000;26550000;True;1;1;;;;
53200000;26600000;True;2;1;;;;
53300000;26650000;True;2;1;;;;
53400000;26700000;True;3;1;;;;
53500000;26750000;True;2;1;;;;
53600000;26800000;True;2;1;;;;
53700000;26850000;True;1;1;;;;
53800000;26900000;True;4;1;;;;
53900000;26950000;True;0;1;;;;
54000000;27000000;True;1;1;;;;
54100000;27050000;True;2;1;;;;
54200000;27100000;True;0;1;;;;
54300000;27150000;True;0;1;;;;
54400000;27200000;True;1;1;;;;
54500000;27250000;True;3;1;;;;
54600000;27300000;True;2;1;;;;
54700000;27350000;True;2;1;;;;
54800000;27400000;True;1;1;;;;
54900000;27450000;True;1;1;;;;
55000000;27500000;True;1;1;;;;
55100000;27550000;True;3;1;;;;
55200000;27600000;True;2;1;;;;
55300000;27650000;True;1;1;;;;
55400000;27700000;True;1;1;;;;
55500000;27750000;True;1;1;;;;
55600000;27800000;True;1;1;;;;
55700000;27850000;True;1;1;;;;
55800000;27900000;True;1;1;;;;
55900000;27950000;True;1;1;;;;
56000000;28000000;True;1;1;;;;
56100000;28050000;True;3;1;;;;
56200000;28100000;True;2;1;;;;
56300000;28150000;True;2;1;;;;
56400000;28200000;True;3;1;;;;
56500000;28250000;True;3;1;;;;
56600000;28300000;True;2;1;;;;
56700000;28350000;True;0;1;;;;
56800000;28400000;True;3;1;;;;
56900000;28450000;True;1;1;;;;
57000000;28500000;True;2;1;;;;
57100000;28550000;True;1;1;;;;
57200000;28600000;True;1;1;;;;
57300000;28650000;True;1;1;;;;
57400000;28700000;True;3;1;;;;
57500000;28750000;True;2;1;;;;
57600000;28800000;True;3;1;;;;
