wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
43600000;1,82712E+18;21800000;265949;21800001;;;21250001;264705
43700000;3,4944E+17;21850000;268378;21850001;;;21300001;267621
43800000;-6,50082E+18;21900000;275946;21900001;;;21350001;254973
43900000;2,55458E+18;21950000;280918;21950001;;;21400001;284474
44000000;-6,49677E+18;22000000;304659;22000001;;;21450001;269109
44100000;-5,18893E+18;22050000;270273;22050001;;;21500001;310209
44200000;-1,26704E+18;22100000;260299;22100001;;;21550001;291564
44300000;-8,22071E+18;22150000;300877;22150001;;;21600001;308509
44400000;-6,30536E+18;22200000;278342;22200001;;;21650001;263551
44500000;5,22052E+18;22250000;276772;22250001;;;21700001;276330
44600000;1,65947E+18;22300000;260010;22300001;;;21750001;266606
